Code,idTree,Genus,Species,Name,Forest,Habitat,Type,HabitatType,Gmin,FvFm,TLP,LA,SLA,LSWC,FW,SW,DW,Midrib VLA,2VLA,3VLA,MajVLA,MidribWidth,SecundaryWidth,TreeHeight,TreeDawkins,BranchHeight,BranchDawkins,CrownPosition,LT,CC,LDMC,Xutm,Yutm,Latitude,Longitude,DBH,TWI
65,179841,Tachigali,melinonii,Tachigali_melinonii,Paracou,BF,Generalist,BFGeneralist,2.4141685,0.835,-1.77561,29.55779028,150.7281503,1.126976033,0.4122,0.4171,0.1961,0.327266,1.335183,3.537248,5.199697,0.042720833,0.01319833,24,4,18,3,Inf,,,,"286,521.81","583,154.75",,,,
66,101665,Protium,stevensonii,Protium_stevensonii,Paracou,BF,Generalist,BFGeneralist,15.9138714,0.807,-2.1571325,28.74576528,86.9502882,0.9467634604,0.6177,0.6436,0.3306,0.451756,1.695144,1.139637,3.286538,0.027778333,0.0085925,18,2,15,3,Inf,,,,"286,502.03","583,156.63",,,,
67,101138,Eschweilera,coriacea,Eschweilera_coriacea,Paracou,TF,Generalist,TFGeneralist,1.01849264,0.819,-1.5538875,43.60554861,35.97817542,1.1080033,2.5093,2.5549,1.212,0.265666,1.436959,4.589516,6.292141,0.040035833,0.0148625,20,3,16,4,Mid,,,,"286,469.84","583,151.31",,,,
68,101016,Bocoa,prouacensis,Bocoa_prouacensis,Paracou,BF,Generalist,BFGeneralist,0.76490521,0.661,-1.82355,61.42335972,215.5962082,2.502281502,0.9906,0.9978,0.2849,0.240343,1.224631,1.582899,3.047873,0.072585,0.01216167,15,4,13,4,Sup,,,,"286,447.34","583,177.88",,,,
69,101485,Tachigali,melinonii,Tachigali_melinonii,Paracou,BF,Generalist,BFGeneralist,2.33048983,0.824,-2.1091925,14.84311389,229.0603995,1.148148148,0.1368,0.1392,0.0648,0.568803,1.940763,2.998026,5.507592,0.03,0.01280583,35,5,24,3,Inf,,,,"286,510.88","583,197.69",,,,
70,103472,Conceveiba,guianensis,Conceveiba_guianensis,Paracou,BF,Generalist,BFGeneralist,3.42763695,0.824,-1.5538875,94.79389444,57.98146336,1.449568781,3.9126,4.0048,1.6349,0.164112,0.59333,3.056711,3.814153,0.099295,0.03864,12,2,11,3,Mid,,,,"286,520.22","583,075.06",,,,
71,103306,Jacaranda,copaia subsp. copaia,Jacaranda_copaia subsp. copaia,Paracou,TF,Generalist,TFGeneralist,2.75209037,0.799,,17.14698333,76.75462548,1.80438675,0.6126,0.6265,0.2234,0.424135,1.480993,4.065846,5.970975,0.025256667,0.012965,32,4,28,3,Mid,,,,"286,499.25","583,021.63",,,,
72,104032,Conceveiba,guianensis,Conceveiba_guianensis,Paracou,BF,Generalist,BFGeneralist,1.46775484,0.819,-1.68772,116.7509,387.490541,1.501161633,0.7887,0.7536,0.3013,0.146079,0.580539,2.210701,2.937319,0.085036667,0.0372375,12,2,10,3,Mid,,,,"286,589.34","582,976.94",,,,
73,104806,Carapa,surinamensis,Carapa_surinamensis,Paracou,BF,BF,BFBF,2.78727392,0.824,-1.7336625,91.46840556,112.1348603,1.396101508,2.0036,1.9545,0.8157,0.182658,0.796329,1.75621,2.735198,0.117520833,0.03185917,14,2,12,3,Mid,,,,"286,579.72","582,980.81",,,,
74,102971,Licania,membranacea,Licania_membranacea,Paracou,TF,TF,TFTF,3.35319263,0.793,-1.939405,108.6667361,226.153457,1.57773153,1.1797,1.2386,0.4805,0.181807,0.707489,3.094583,3.983879,0.099225,0.0368625,22,3,20,3,Mid,,,,"286,481.44","582,963.81",,,,
