Code,idTree,Genus,Species,Name,Forest,Habitat,Type,TreeHeight,TreeDawkins,BranchHeight,BranchDawkins,CrownPosition,DBH,Xutm,Yutm,TWI
644,,Jacaranda,copaia subsp. copaia,Jacaranda_copaia subsp. copaia,Kaw,BF,Generalist,23,5,23,5,Sup,25,348611.92,518241.8,8.638255
645,,Iryanthera,hostmannii,Iryanthera_hostmannii,Kaw,BF,BF,15,3,13,3,Mid,17,349350.07,517371.41,9.064654
646,,Iryanthera,hostmannii,Iryanthera_hostmannii,Kaw,BF,BF,14,2,11,2,Mid,13.3,349362.42,517387.97,9.064654
647,,Iryanthera,hostmannii,Iryanthera_hostmannii,Kaw,BF,BF,7,1,6,2,Mid,10.8,349350.9,517451.46,7.597216
648,,Iryanthera,hostmannii,Iryanthera_hostmannii,Kaw,BF,BF,11,2,9,3,Mid,11.6,349365.22,517456.96,7.597216
649,,Iryanthera,hostmannii,Iryanthera_hostmannii,Kaw,BF,BF,9,2,8,2,Mid,12.1,349377.39,517445.22,7.597216
650,,Iryanthera,hostmannii,Iryanthera_hostmannii,Kaw,BF,BF,8,2,8,2,Sup,11.5,349377.28,517443.34,7.597216
651,,Jacaranda,copaia subsp. copaia,Jacaranda_copaia subsp. copaia,Kaw,BF,Generalist,15,5,15,5,Sup,21,348115.57,518289.88,11.688863
652,,Jacaranda,copaia subsp. copaia,Jacaranda_copaia subsp. copaia,Kaw,BF,Generalist,18,5,18,5,Sup,22,348346.13,517680.19,10.442858
653,,Iryanthera,hostmannii,Iryanthera_hostmannii,Kaw,BF,BF,10,2,8,2,Mid,20,348562.06,518101.26,8.069429
654,,Iryanthera,hostmannii,Iryanthera_hostmannii,Kaw,BF,BF,11,4,9,2,Mid,24,348546.12,518061.15,9.564647
655,,Iryanthera,hostmannii,Iryanthera_hostmannii,Kaw,BF,BF,12,2,8,3,Mid,23,369334.3,504965.5,6.350865
656,,Iryanthera,hostmannii,Iryanthera_hostmannii,Kaw,BF,BF,12,2,8,2,Mid,18,348525.23,518102.55,8.069429
