Code RWC,idTree,idLeaf,NrRunLeaf,spName,statusLeaf,phenoLeaf,DenseSecVeins,idVapro,NrRunVapro,C_0,comment storag/disc/run/health/pheno,P_osmo,P_tlp
29,NA,1,1,Por.gui,herbivory,mature,ok,1,5,663,NA,-1.6575,-1.9893425
30,NA,1,1,Por.gui,healthy,mature,ok,1,6,644,NA,-1.61,-1.9513900000000002
31,NA,1,1,Esc.cor,healthy,mature,ok,1,7,507,NA,-1.2675,-1.6777325
32,NA,1,1,Tac.mel,healthy,mature,ok,1,6,472,NA,-1.18,-1.60782
33,NA,1,1,Gus.hex,healthy,mature,ok,1,5,626,NA,-1.565,-1.915435
34,NA,1,1,Pro.opa,healthy,mature,ok,1,5,694,qq points marrons,-1.735,-2.051265
35,NA,1,1,Pro.opa,herbivory,mature,ok,1,5,635,NA,-1.5875000000000001,-1.9334125000000002
36,NA,1,1,Car.sur,herbivory,mature,ok,1,4,544,NA,-1.36,-1.75164
37,NA,1,1,Pte.off,herbivory,mature,ok,1,5,451,NA,-1.1275,-1.5658725
38,NA,1,1,Pte.off,herbivory,mature,ok,1,8,587,NA,-1.4675,-1.8375325
39,NA,1,1,Pte.off,healthy,mature,ok,1,7,669,NA,-1.6725,-2.0013275000000004
40,NA,1,1,Boc.pro,herbivory,mature,ok,1,7,635,NA,-1.5875000000000001,-1.9334125000000002
41,NA,1,1,Pro.opa,healthy,mature,ok,1,6,670,qq points marrons,-1.675,-2.0033250000000002
42,NA,1,1,Pro.opa,healthy,mature,ok,1,8,765,NA,-1.9125,-2.1930875000000003
43,NA,1,1,Car.sur,healthy,mature,ok,1,4,485,NA,-1.2125000000000001,-1.6337875000000002
44,NA,1,1,Pro.opa,healthy,mature,ok,1,5,723,NA,-1.8075,-2.1091925000000002
45,NA,1,1,Con.gui,healthy,mature,ok,1,5,565,NA,-1.4125,-1.7935875000000001
46,NA,1,1,Sym.glo,healthy,mature,no,1,4,541,NA,-1.3525,-1.7456475
47,NA,1,1,Sym.glo,healthy,mature,no,1,4,537,NA,-1.3425,-1.7376575
48,NA,1,1,Jac.cop,herbivory,mature,ok,1,9,342,NA,-0.855,-1.3481450000000001
49,NA,1,1,Car.sur,healthy,mature,ok,1,4,556,NA,-1.3900000000000001,-1.7756100000000001
50,NA,1,1,Gus.hex,herbivory,mature,ok,1,6,734,NA,-1.835,-2.131165
51,NA,1,1,Dic.gui,herbivory,mature,ok,1,6,470,qq points marrons,-1.175,-1.603825
52,NA,1,1,Hym.het,herbivory,mature,ok,1,4,424,NA,-1.06,-1.51194
